city,home_sum,home_won,away_won
al-Hamriyah,1.0,0.5,0.5
Ekaterinburg,3.0,1.5,2.5
Nuremberg,70.0,21.5,6.5
Karachi,35.0,12.0,14.0
Lárisa,4.0,2.0,1.0
Portland,13.0,4.5,0.5
Murcia,11.0,4.0,1.0
Jomala,27.0,7.0,2.0
Rotterdam,324.0,96.5,34.5
Saarbrücken,13.0,3.0,6.0
Luanda,184.0,84.0,37.0
Dire Dawa,16.0,6.0,1.0
Jinja,31.0,10.0,4.0
Toyama,1.0,0.0,1.0
San Carlos,5.0,1.0,0.0
Terrassa,2.0,1.0,0.0
Qarshi,0.0,0.5,0.5
San Salvador de Jujuy,1.0,1.0,1.0
Florence,78.0,27.0,10.0
Dodoma,17.0,7.5,2.5
Sandur,6.0,2.0,0.0
Polokwane,41.0,18.5,18.5
Germiston,2.0,1.0,0.0
al-Ramm,3.0,1.5,1.5
Lesotho,1.0,1.0,1.0
London,830.0,279.0,116.0
Lagos,224.0,82.5,27.5
Oulu,1.0,0.5,0.5
Heerenveen,1.0,1.5,0.5
Parramatta,2.0,1.0,2.0
Xánthi,1.0,0.5,0.5
Woumé,3.0,1.0,0.0
Sankt Pölten,4.0,1.0,2.0
Saint George's,7.0,2.0,1.0
Haifa,34.0,11.0,8.0
San Pedro Sula,165.0,58.0,26.0
Windhoek,144.0,59.0,52.0
João Pessoa,0.0,0.5,0.5
Qyzylorda,2.0,1.0,0.0
Paralímni,11.0,5.5,2.5
Costebelle,0.0,0.0,1.0
Kunshan,2.0,1.0,0.0
Roodepoort,2.0,1.0,1.0
Mumbai,13.0,4.0,3.0
Willemstad,260.0,85.5,53.5
Addis Abeba,330.0,125.0,83.0
Esbjerg,6.0,1.5,2.5
Minsk,87.0,36.0,34.0
Verona,13.0,5.0,3.0
Palma de Mallorca,7.0,4.0,1.0
Aarau,1.0,1.0,0.0
St. Sampson,61.0,15.5,14.5
Kayes,5.0,2.5,0.5
al-Wakrah,16.0,5.0,4.0
Le Touquet-Paris-Plage,1.0,1.0,0.0
Le Petit-Quevilly,5.0,2.5,0.5
Mandalay,10.0,3.5,2.5
St. Louis,22.0,8.0,2.0
Cotonou,148.0,56.0,53.0
Chingola,18.0,6.0,3.0
Gurjaani,6.0,1.0,0.0
Ashdod,6.0,2.0,0.0
Pretoria,15.0,6.0,12.0
Seongnam,0.0,0.5,0.5
Latacunga,3.0,1.0,0.0
Valence,1.0,0.5,1.5
Hawalli,5.0,2.0,0.0
Motherwell,5.0,1.0,0.0
Gentilly,0.0,0.0,1.0
Lucerne,37.0,13.5,4.5
Nitra,9.0,3.5,0.5
Bergamo,7.0,2.0,2.0
Celje,20.0,8.5,9.5
Bry-sur-Marne,5.0,1.5,0.5
Tursunzoda,3.0,1.0,2.0
La Marsa,0.0,0.0,1.0
Leonora,14.0,4.0,0.0
Majadahonda,2.0,1.0,0.0
Brisbane,93.0,26.5,14.5
Saint-Pierre,46.0,15.5,23.5
Honiara,148.0,40.0,26.0
Marigot,17.0,6.5,2.5
Sucre,11.0,6.0,1.0
Mamoutzou,1.0,0.5,0.5
Évora,4.0,1.0,0.0
Orapa,0.0,0.5,0.5
Umlazi,2.0,1.0,0.0
Talcahuano,2.0,1.0,0.0
Lifou,2.0,1.0,0.0
Võru,6.0,1.5,0.5
Stenkyrka,6.0,2.5,1.5
Samara,3.0,1.5,4.5
Birmingham,28.0,14.5,6.5
Tokyo,181.0,54.5,35.5
Sydney,210.0,70.0,29.0
San Salvador,364.0,111.5,64.5
Jerusalem,23.0,7.0,8.0
Kassala,10.0,5.0,1.0
Koror,4.0,2.0,1.0
Abeokuta,3.0,2.0,0.0
Ramsey,3.0,1.0,2.0
Kecskemét,2.0,0.5,0.5
Cornellà de Llobregat,1.0,0.5,1.5
Santa Clara,12.0,4.5,3.5
St. John,3.0,1.0,1.0
Vienna,665.0,202.0,134.0
Dresden,30.0,11.0,6.0
Tel Aviv,19.0,3.5,3.5
Khartoum,173.0,71.0,39.0
Nagoya,7.0,2.5,2.5
Chonburi,0.0,0.0,1.0
Mielec,5.0,2.5,1.5
Hempstead,0.0,0.5,0.5
Rose Hill,0.0,0.5,1.5
Maladzečna,2.0,0.5,0.5
Jerez,4.0,1.0,0.0
Estepona,8.0,2.0,0.0
Pernis,1.0,1.0,0.0
Vila Real de Santo António,2.0,0.5,4.5
Buriram,8.0,3.5,1.5
Dededo,28.0,9.5,7.5
Thanh Hóa,2.0,1.0,0.0
Pristina,18.0,7.0,3.0
Kilmarnock,8.0,3.0,1.0
Burnley,1.0,0.0,1.0
So Kon Po,200.0,59.5,65.5
Graz,53.0,16.0,10.0
Klaksvík,4.0,3.0,2.0
Larnaca,69.0,27.0,30.0
The Valley,17.0,4.0,21.0
La Serena,10.0,4.0,2.0
Perth,10.0,3.0,1.0
Kilkís,2.0,1.0,0.0
Palmerstone North,0.0,0.5,0.5
Cebu,0.0,0.5,0.5
Harbin,1.0,0.5,0.5
Užice,2.0,1.0,0.0
Benin,2.0,0.5,0.5
Västerås,9.0,1.5,2.5
Antananarivo,194.0,57.0,36.0
Wad Madani,8.0,2.5,3.5
Yerevan,110.0,37.0,51.0
Lubin,4.0,2.5,0.5
Saint John,0.0,0.0,1.0
St. Lawrence,12.0,4.5,2.5
Dornbirn,0.0,0.0,1.0
Amanvillers,1.0,0.0,1.0
Salahaddin,5.0,1.0,1.0
Derby,17.0,4.0,0.0
Paramaribo,383.0,107.5,54.5
Byton,3.0,0.5,0.5
Limassol,96.0,33.0,45.0
Leicester,4.0,2.0,2.0
Jaffna,1.0,0.5,0.5
Alcochete,0.0,0.0,1.0
San Pedro de Alcántara,1.0,0.5,0.5
Ahmedabad,13.0,3.5,3.5
Irvine,2.0,0.0,3.0
Zaragoza,13.0,4.5,3.5
St. John's,178.0,52.5,40.5
Keflavík,9.0,1.0,0.0
Moanda,0.0,1.0,2.0
Wodzisław Śląski,1.0,1.0,0.0
Quetzaltenango,3.0,2.0,0.0
Gabès,0.0,0.5,0.5
Burton on Trent,0.0,0.0,1.0
Andorra la Vella,3.0,2.5,6.5
Düsseldorf,64.0,20.5,12.5
Charleroi,16.0,4.5,2.5
Lokeren,1.0,0.5,0.5
Arusha,32.0,16.0,14.0
Sandavágur,4.0,0.0,1.0
Luque,19.0,8.5,3.5
Shah Alam,59.0,18.5,20.5
Anshan,3.0,1.0,0.0
Moruleng,18.0,7.0,6.0
Kuwait,1.0,0.5,0.5
Bradenton,0.0,0.0,2.0
Kristiania,40.0,11.5,15.5
Arad,8.0,2.5,2.5
Durban,93.0,38.0,28.0
Monterrey,62.0,22.0,12.0
Uberlândia,12.0,3.5,0.5
Gdańsk,18.0,6.0,7.0
Xiaogan,0.0,0.5,0.5
Columbus,19.0,9.5,3.5
Rivière-Pilote,24.0,7.0,6.0
Charkiv,0.0,0.5,0.5
Selayang,0.0,0.5,0.5
Fitzwilliam,7.0,1.5,0.5
Bucharest,487.0,159.0,71.0
Mexico City,535.0,173.0,51.0
Xinjing,13.0,1.0,4.0
Isa Town,27.0,10.5,10.5
Logroño,10.0,2.5,0.5
Masvingo,2.0,1.0,1.0
Zouérat,0.0,0.0,1.0
Crewe,6.0,1.5,0.5
Kingston,399.0,149.5,89.5
Cosenza,5.0,1.0,0.0
São Tomé,17.0,7.5,12.5
Maldonado,21.0,5.0,3.0
Rhodes,3.0,1.0,2.0
Leverkusen,30.0,7.5,0.5
Maribor,43.0,16.5,6.5
Port Erin,4.0,0.0,2.0
Sikasso,7.0,5.5,2.5
Phang Nga,1.0,0.5,0.5
Chittagong,14.0,6.5,4.5
Nonthaburi,5.0,1.5,1.5
Salé,2.0,1.0,0.0
Cluj,6.0,3.5,3.5
Tunis,396.0,147.5,75.5
Kyïv,152.0,63.0,28.0
Kisumu,4.0,3.0,2.0
Vaasa,2.0,1.0,1.0
Dammam,106.0,34.5,12.5
Daegu,31.0,11.5,6.5
Okayama,2.0,1.0,0.0
Caen,6.0,2.0,1.0
Tabriz,44.0,6.0,1.0
Enschede,3.0,1.0,0.0
Sedan,2.0,1.0,0.0
Thun,3.0,1.0,0.0
Tampere,36.0,14.0,9.0
Zomba,32.0,10.5,2.5
Kotka,4.0,1.5,0.5
Alajuela,32.0,11.0,5.0
Kalamáta,8.0,3.0,0.0
Aswan,21.0,6.0,2.0
Mariehamn,5.0,1.0,1.0
Matrei in Osttirol,1.0,0.5,0.5
Kolkota,1.0,0.5,0.5
Vincennes,18.0,2.5,4.5
Capesterre-Belle-Eau,1.0,0.0,2.0
Kuantan,4.0,2.0,4.0
Peshawar,15.0,4.0,6.0
Goiânia,50.0,17.5,6.5
Washington,97.0,34.0,24.0
Timişoara,6.0,3.0,3.0
Achna,3.0,1.0,1.0
Bielefeld,1.0,1.0,1.0
Gijón,30.0,10.5,2.5
Cape Town,43.0,15.5,20.5
N'Djamena,57.0,22.5,21.5
Cottbus,6.0,1.0,1.0
Foggia,2.0,1.0,0.0
Chililabombwe,14.0,8.0,4.0
Korçë,0.0,0.5,0.5
Cascais,0.0,0.5,0.5
Uyo,17.0,6.5,2.5
Asaba,1.0,2.0,1.0
Soweto,0.0,0.0,1.0
Lausanne,61.0,19.5,25.5
La Coruña,23.0,8.0,3.0
Pirae,16.0,4.0,7.0
Shenyang,18.0,8.5,1.5
Foshan,7.0,1.0,0.0
Konya,9.0,4.0,2.0
Zaporizhia,1.0,1.0,0.0
Sandviken,8.0,2.5,0.5
Naples,56.0,21.5,12.5
Yamoussoukro,1.0,1.0,0.0
Bin Ghashir,3.0,2.0,0.0
Pisa,5.0,3.5,0.5
Bishkek,47.0,20.5,14.5
Nicoya,1.0,0.0,1.0
Carson,57.0,22.0,12.0
Freiburg,34.0,6.0,1.0
Bathurst,4.0,1.0,1.0
Cheongju,0.0,0.0,1.0
Pasadena,56.0,24.0,18.0
Catania,4.0,2.0,0.0
Ghent,7.0,2.5,0.5
Paroi,3.0,2.5,1.5
Tangiers,7.0,4.0,4.0
Växjö,4.0,1.5,0.5
Mogadishu,15.0,7.0,10.0
al-Ain,29.0,11.0,11.0
Kenitra,1.0,0.5,1.5
Praia,114.0,47.5,27.5
Sion,8.0,3.0,3.0
Portimão,2.0,1.0,0.0
Beira,10.0,4.5,0.5
