date_played,home_team,away_team,home_score,away_score,city,country,Result
6/17/1917,Norway,Denmark,1,2,Kristiania,Norway,Denmark
7/15/1917,Austria,Hungary,1,4,Vienna,Austria,Hungary
7/18/1917,Uruguay,Argentina,0,2,Montevideo,Uruguay,Argentina
8/15/1917,Argentina,Uruguay,1,0,Avellaneda,Argentina,Argentina
8/19/1917,Sweden,Norway,3,3,Helsingborg,Sweden,drawn
9/2/1917,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
9/16/1917,Norway,Sweden,0,2,Kristiania,Norway,Sweden
9/30/1917,Uruguay,Chile,4,0,Montevideo,Uruguay,Uruguay
10/3/1917,Argentina,Brazil,4,2,Montevideo,Uruguay,Argentina
10/6/1917,Argentina,Chile,1,0,Montevideo,Uruguay,Argentina
10/7/1917,Denmark,Norway,12,0,Copenhagen,Denmark,Denmark
10/7/1917,Hungary,Austria,2,1,Budapest,Hungary,Hungary
10/7/1917,Uruguay,Brazil,4,0,Montevideo,Uruguay,Uruguay
10/12/1917,Brazil,Chile,5,0,Montevideo,Uruguay,Brazil
10/14/1917,Sweden,Denmark,1,2,Stockholm,Sweden,Denmark
10/14/1917,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
10/16/1917,Uruguay,Brazil,3,1,Montevideo,Uruguay,Uruguay
11/4/1917,Austria,Hungary,1,2,Vienna,Austria,Hungary
12/23/1917,Switzerland,Austria,0,1,Basel,Switzerland,Austria
12/26/1917,Switzerland,Austria,3,2,Zürich,Switzerland,Switzerland
4/14/1918,Hungary,Austria,2,0,Budapest,Hungary,Hungary
5/9/1918,Austria,Switzerland,5,1,Vienna,Austria,Austria
5/12/1918,Hungary,Switzerland,2,1,Budapest,Hungary,Hungary
5/26/1918,Sweden,Norway,2,0,Stockholm,Sweden,Sweden
6/2/1918,Austria,Hungary,0,2,Vienna,Austria,Hungary
6/2/1918,Denmark,Sweden,3,0,Copenhagen,Denmark,Denmark
6/16/1918,Norway,Denmark,3,1,Kristiania,Norway,Norway
7/18/1918,Uruguay,Argentina,1,1,Montevideo,Uruguay,drawn
7/28/1918,Uruguay,Argentina,3,1,Montevideo,Uruguay,Uruguay
8/15/1918,Argentina,Uruguay,0,0,Buenos Aires,Argentina,drawn
8/25/1918,Argentina,Uruguay,2,1,Buenos Aires,Argentina,Argentina
9/15/1918,Norway,Sweden,2,1,Kristiania,Norway,Norway
9/20/1918,Uruguay,Argentina,1,1,Montevideo,Uruguay,drawn
9/29/1918,Argentina,Uruguay,2,0,Buenos Aires,Argentina,Argentina
10/6/1918,Austria,Hungary,0,3,Vienna,Austria,Hungary
10/6/1918,Denmark,Norway,4,0,Copenhagen,Denmark,Denmark
10/20/1918,Sweden,Denmark,1,2,Gothenburg,Sweden,Denmark
3/9/1919,Belgium,France,2,2,Brussels,Belgium,drawn
4/6/1919,Hungary,Austria,2,1,Budapest,Hungary,Hungary
5/11/1919,Brazil,Chile,6,0,Rio de Janeiro,Brazil,Brazil
5/11/1919,Paraguay,Argentina,1,5,Asunción,Paraguay,Argentina
5/13/1919,Argentina,Uruguay,2,3,Rio de Janeiro,Brazil,Uruguay
5/15/1919,Paraguay,Argentina,0,3,Asunción,Paraguay,Argentina
5/17/1919,Chile,Uruguay,0,2,Rio de Janeiro,Brazil,Uruguay
5/18/1919,Brazil,Argentina,3,1,Rio de Janeiro,Brazil,Brazil
5/21/1919,Paraguay,Argentina,1,2,Asunción,Paraguay,Argentina
5/22/1919,Argentina,Chile,4,1,Rio de Janeiro,Brazil,Argentina
5/24/1919,Paraguay,Argentina,1,2,Asunción,Paraguay,Argentina
5/26/1919,Brazil,Uruguay,2,2,Rio de Janeiro,Brazil,drawn
5/29/1919,Brazil,Uruguay,1,0,Rio de Janeiro,Brazil,Brazil
5/29/1919,Sweden,Finland,1,0,Stockholm,Sweden,Sweden
6/1/1919,Brazil,Argentina,3,3,Rio de Janeiro,Brazil,drawn
6/5/1919,Denmark,Sweden,3,0,Copenhagen,Denmark,Denmark
6/9/1919,Netherlands,Sweden,3,1,Amsterdam,Netherlands,Netherlands
6/12/1919,Denmark,Norway,5,1,Copenhagen,Denmark,Denmark
6/29/1919,Norway,Sweden,4,3,Kristiania,Norway,Norway
7/18/1919,Uruguay,Argentina,4,1,Montevideo,Uruguay,Uruguay
8/24/1919,Sweden,Netherlands,4,1,Stockholm,Sweden,Sweden
8/24/1919,Uruguay,Argentina,2,1,Montevideo,Uruguay,Uruguay
8/31/1919,Norway,Netherlands,1,1,Oslo,Norway,drawn
9/7/1919,Argentina,Uruguay,1,2,Buenos Aires,Argentina,Uruguay
9/14/1919,Sweden,Norway,1,5,Gothenburg,Sweden,Norway
9/21/1919,Norway,Denmark,3,2,Kristiania,Norway,Norway
9/28/1919,Finland,Sweden,3,3,Helsinki,Finland,drawn
10/5/1919,Austria,Hungary,2,0,Vienna,Austria,Austria
10/12/1919,Sweden,Denmark,3,0,Stockholm,Sweden,Sweden
10/19/1919,Argentina,Uruguay,6,1,Buenos Aires,Argentina,Argentina
10/25/1919,Northern Ireland,England,1,1,Belfast,Republic of Ireland,drawn
11/9/1919,Hungary,Austria,3,2,Budapest,Hungary,Hungary
12/7/1919,Uruguay,Argentina,4,2,Montevideo,Uruguay,Uruguay
1/18/1920,Italy,France,9,4,Milan,Italy,Italy
2/14/1920,Northern Ireland,Wales,2,2,Belfast,Republic of Ireland,drawn
2/26/1920,Wales,Scotland,1,1,Cardiff,Wales,drawn
2/29/1920,Switzerland,France,0,2,Geneva,Switzerland,France
3/13/1920,Scotland,Northern Ireland,3,0,Glasgow,Scotland,Scotland
3/15/1920,England,Wales,1,2,London,England,Wales
3/28/1920,France,Belgium,2,1,Paris,France,France
3/28/1920,Switzerland,Italy,3,0,Berne,Switzerland,Switzerland
4/5/1920,Netherlands,Denmark,2,0,Amsterdam,Netherlands,Netherlands
4/10/1920,England,Scotland,5,4,Sheffield,England,England
5/2/1920,Austria,Hungary,2,2,Vienna,Austria,drawn
5/13/1920,Italy,Netherlands,1,1,Genoa,Italy,drawn
5/16/1920,Switzerland,Netherlands,2,1,Basel,Switzerland,Switzerland
5/30/1920,Sweden,Finland,4,0,Stockholm,Sweden,Sweden
6/6/1920,Sweden,Switzerland,0,1,Stockholm,Sweden,Switzerland
6/13/1920,Norway,Denmark,1,1,Kristiania,Norway,drawn
6/27/1920,Norway,Sweden,0,3,Kristiania,Norway,Sweden
6/27/1920,Switzerland,Germany,4,1,Zürich,Switzerland,Switzerland
7/18/1920,Uruguay,Argentina,2,0,Montevideo,Uruguay,Uruguay
7/25/1920,Argentina,Uruguay,1,3,Buenos Aires,Argentina,Uruguay
